Id,Label,extime_copy,group,folder
2,seq_io_read_char(),0,1,
4,seq_io_wopen(),0,1,
5,shr_pio_finalize(),0,1,
6,seq_map_esmf_init(),0,1,
7,seq_map_mapinit(),0,1,
10,mct_sMat_2YgsMap(),0,1,
11,seq_io_read_int(),0,1,
14,t_adj_detailf(),0,1,
15,prep_glc_mrg(),0,1,
16,seq_map_init_exchange(),0,1,
19,prep_rof_init(),0,1,
23,prep_ice_calc_a2x_ix(),0,1,
26,seq_infodata_GetData(),0,1,
28,ccsm_pre_init2(),0,1,
29,seq_diag_lnd_mct(),0,1,
30,ccsm_pre_init1(),0,1,
31,prep_aoflux_init(),0,1,
32,seq_io_enddef(),0,1,
33,seq_io_write_av(),0,1,
35,pio_read_darray(),0,1,
36,prep_aoflux_calc_xao_ox(),0,1,
40,mct_avect_init(),0,1,
41,t_stopf(),0,1,
42,mct_avect_clean(),0,1,
45,seq_infodata_getdata(),0,1,
48,seq_diag_zero_mct(),0,1,
52,prep_lnd_calc_r2x_lx(),0,1,
56,seq_io_read_av(),0,1,
58,seq_domain_compare(),0,1,
60,prep_glc_calc_l2x_gx(),0,1,
61,pio_write_darray(),0,1,
63,prep_ocn_accum(),0,1,
68,mct_aVect_setSharedIndices(),0,1,
72,seq_io_read_r8(),0,1,
73,component_init_update_petlist(),0,1,
77,prep_ocn_calc_w2x_ox(),0,1,
78,esmfshr_infodata_state2infodata(),0,1,
80,prep_wav_calc_a2x_wx(),0,1,
82,prep_atm_mrg(),0,1,
83,shr_mem_getusage(),0,1,
87,seq_io_close(),0,1,
90,seq_io_cpl_init(),0,1,
94,mct_avect_zero(),0,1,
96,mct_list_init(),0,1,
102,mct_rearr_rearrange_fldlist(),0,1,
103,seq_comm_getcompstates(),0,1,
104,mct_aVect_copy(),0,1,
106,shr_sys_flush(),0,1,
108,mct_AVect_zero(),0,1,
110,shr_pio_init2(),0,1,
111,prep_atm_calc_i2x_ax(),0,1,
112,component_init_pre(),0,1,
113,mct2esmf_copy(),0,1,
115,mct_gsmap_clean(),0,1,
116,pio_initdecomp(),0,1,
118,seq_flux_initexch_mct(),0,1,
122,ESMF_GridCompSetEntryPoint(),0,1,
123,seq_comm_petlist(),0,1,
131,prep_atm_calc_l2x_ax(),0,1,
132,seq_domain_areafactinit(),0,1,
133,cpl_esmf_run(),0,1,
134,ESMF_ArrayGet(),0,1,
136,shr_mem_init(),0,1,
139,mct_indexsort(),0,1,
140,mct_gsMap_clean(),0,1,
142,mct_gsmap_activepes(),0,1,
143,seq_timemgr_clockPrint(),0,1,
144,cpl_esmf_init(),0,1,
145,seq_io_write_time(),0,1,
146,prep_ocn_calc_a2x_ox(),0,1,
147,mct_ggrid_clean(),0,1,
149,shr_mct_sMatReaddnc(),0,1,
152,ccsm_comp_init(),0,1,
153,component_init_cc(),0,1,
154,ESMF_VMGet(),0,1,
155,ESMF_StateAdd(),0,1,
158,seq_infodata_print(),0,1,
161,component_init_areacor(),0,1,
162,shr_cal_ymd2date(),0,1,
163,seq_map_register(),0,1,
164,seq_io_write_avs(),0,1,
166,component_diag(),0,1,
167,pio_setframe(),0,1,
168,seq_map_mappoint(),0,1,
169,mpi_comm_rank(),0,1,
170,seq_io_redef(),0,1,
171,shr_file_freeUnit(),0,1,
172,prep_ocn_init(),0,1,
173,prep_wav_merge(),0,1,
174,seq_io_read(),0,1,
175,shr_orb_params(),0,1,
176,prep_lnd_mrg(),0,1,
179,component_exch(),0,1,
180,seq_map_gsmapcheck(),0,1,
182,mct_aVect_init(),0,1,
183,ESMF_GridCompFinalize(),0,1,
185,seq_io_write_avscomp(),0,1,
186,shr_scam_checkSurface(),0,1,
187,mct_AVect_init(),0,1,
188,seq_map_readdata(),0,1,
189,shr_mpi_sum(),0,1,
190,seq_hist_writeavg(),0,1,
191,ESMF_StateRemove(),0,1,
195,component_init_aream(),0,1,
196,prep_ocn_calc_g2x_ox(),0,1,
197,mpi_allreduce(),0,1,
198,prep_wav_calc_i2x_wx(),0,1,
199,seq_comm_setptrs(),0,1,
201,mct_sMat_2XgsMap(),0,1,
202,shr_cal_date2ymd(),0,1,
204,mpi_init(),0,1,
207,seq_domain_check_fracmask(),0,1,
208,mpi_barrier(),0,1,
210,esmfshr_infodata_infodata2state(),0,1,
211,ESMF_ArraySMMStore(),0,1,
213,seq_io_write(),0,1,
215,seq_diag_atm_mct(),0,1,
216,seq_mctext_gsmapExtend(),0,1,
217,mct_avect_avg(),0,1,
219,prep_ice_init(),0,1,
220,seq_flux_atmocn_mct(),0,1,
221,seq_rest_write(),0,1,
222,date_and_time(),0,1,
224,seq_flux_ocnalb_mct(),0,1,
225,prep_glc_init(),0,1,
226,seq_timemgr_EClockGetData(),0,1,
229,mct_aVect_exportRAttr(),0,1,
232,seq_infodata_exchange(),0,1,
233,seq_diag_avect_mct(),0,1,
234,shr_file_setLogLevel(),0,1,
243,seq_map_avNorm(),0,1,
244,seq_diag_ice_mct(),0,1,
249,seq_diag_sum0_mct(),0,1,
250,seq_ccsm_printlogheader(),0,1,
251,I90_allLoadF(),0,1,
253,seq_comm_getData(),0,1,
255,seq_diag_ocn_mct(),0,1,
258,seq_comm_init(),0,1,
260,prep_ocn_accum_avg(),0,1,
262,shr_mct_queryConfigFile(),0,1,
269,prep_aoflux_calc_xao_ax(),0,1,
270,mpi_comm_size(),0,1,
271,shr_sys_abort(),0,1,
274,ccsm_comp_final(),0,1,
277,seq_io_write_r81d(),0,1,
278,ESMF_GridCompInitialize(),0,1,
283,seq_map_esmf_run(),0,1,
285,mct_gGrid_clean(),0,1,
289,seq_map_mapvect(),0,1,
290,mct_aVect_accum(),0,1,
292,prep_ice_calc_g2x_ix(),0,1,
293,ESMF_ArraySMM(),0,1,
294,mct_rearr_rearrange(),0,1,
295,mct_aVect_getRList(),0,1,
296,prep_rof_accum(),0,1,
298,prep_ocn_calc_r2x_ox(),0,1,
299,shr_cal_advDateInt(),0,1,
301,mct_list_clean(),0,1,
303,seq_map_mapmatch(),0,1,
304,seq_rest_read(),0,1,
306,ESMF_StateGet(),0,1,
307,seq_mctext_gsmapCreate(),0,1,
311,ESMF_GridCompRun(),0,1,
312,seq_map_avNormArr(),0,1,
318,seq_io_read_avscomp(),0,1,
324,ESMF_AttributeWrite(),0,1,
326,seq_mctext_avExtend(),0,1,
327,ccsm_final(),0,1,
328,ccsm_run(),0,1,
329,seq_mctext_avinit(),0,1,
331,mct_gGrid_exportRAttr(),0,1,
333,i90_gtoken(),0,1,
334,mpi_reduce(),0,1,
335,seq_map_avNormAvF(),0,1,
336,shr_orb_decl(),0,1,
338,seq_io_write_char(),0,1,
339,mct_aVect_clean(),0,1,
341,prep_wav_mrg(),0,1,
343,mct_sMat_g2lMat(),0,1,
345,seq_hist_writeaux(),0,1,
346,prep_ocn_merge(),0,1,
347,seq_map_map(),0,1,
348,prep_lnd_calc_g2x_lx(),0,1,
353,seq_mctext_avInit(),0,1,
354,shr_mpi_chkerr(),0,1,
358,mct_indexset(),0,1,
361,seq_flux_init_mct(),0,1,
366,seq_map_esmf_register(),0,1,
367,seq_mctext_gsmapInit(),0,1,
369,seq_io_write_r8(),0,1,
370,seq_io_read_avs(),0,1,
371,mct_aVect_getRAttr(),0,1,
372,mpi_bcast(),0,1,
373,cpl_esmf_register(),0,1,
374,prep_rof_accum_avg(),0,1,
375,prep_lnd_merge(),0,1,
376,prep_ocn_calc_i2x_ox(),0,1,
378,mct_avect_accum(),0,1,
379,seq_map_map_exchange(),0,1,
381,mct_avect_vecmult(),0,1,
383,ESMF_RoutehandleSet(),0,1,
384,component_final(),0,1,
385,ESMF_AttributeSet(),0,1,
389,seq_map_init_rcfile(),0,1,
390,prep_lnd_init(),0,1,
391,seq_domain_check_grid(),0,1,
398,mct_gsMap_activepes(),0,1,
399,shr_mpi_max(),0,1,
402,component_init_cx(),0,1,
403,ESMF_VMGetCurrent(),0,1,
404,ccsm_comp_register(),0,1,
405,ESMF_CplCompSetEntryPoint(),0,1,
407,prep_glc_accum(),0,1,
408,prep_atm_merge(),0,1,
411,pio_freedecomp(),0,1,
413,mct_gGrid_init(),0,1,
416,prep_wav_calc_o2x_wx(),0,1,
418,mct_aVect_zero(),0,1,
419,ccsm_init(),0,1,
421,seq_map_initvect(),0,1,
422,t_barrierf(),0,1,
423,cpl_esmf_init_states(),0,1,
424,shr_mpi_min(),0,1,
428,seq_timemgr_clockAdvance(),0,1,
429,t_drvstartf(),0,1,
435,seq_comm_getdata(),0,1,
436,mct_permute(),0,1,
437,seq_infodata_putData(),0,1,
438,prep_ice_calc_o2x_ix(),0,1,
441,shr_mct_sMatPInitnc(),0,1,
442,MPI_Comm_Dup(),0,1,
444,pio_closefile(),0,1,
450,ccsm_comp_run(),0,1,
451,shr_file_setIO(),0,1,
453,shr_flux_atmocn(),0,1,
454,mct_gsMap_copy(),0,1,
457,shr_mpi_commrank(),0,1,
459,ESMF_AttributeLink(),0,1,
460,mct_gsmap_OrderedPoints(),0,1,
463,seq_hist_spewav(),0,1,
465,shr_file_setLogUnit(),0,1,
466,mct_aVect_exportRattr(),0,1,
467,esmf2mct_copy(),0,1,
468,seq_infodata_getData(),0,1,
470,prep_rof_calc_l2r_rx(),0,1,
471,t_drvstopf(),0,1,
474,prep_atm_calc_o2x_ax(),0,1,
476,seq_comm_setnthreads(),0,1,
479,prep_rof_mrg(),0,1,
481,seq_diag_print_mct(),0,1,
484,t_prf(),0,1,
486,ESMF_ArrayDestroy(),0,1,
487,prep_lnd_calc_a2x_lx(),0,1,
489,mct_string_clean(),0,1,
491,seq_map_esmf_final(),0,1,
494,seq_timemgr_clockInit(),0,1,
495,seq_frac_init(),0,1,
496,prep_rof_merge(),0,1,
498,seq_diag_rof_mct(),0,1,
499,seq_flds_lookup(),0,1,
501,mct_gsmap_init(),0,1,
502,shr_map_setDopole(),0,1,
503,prep_ice_calc_r2x_ix(),0,1,
504,pio_seterrorhandling(),0,1,
510,component_run(),0,1,
511,shr_reprosum_setopts(),0,1,
513,seq_io_write_int(),0,1,
515,mct_sMat_SortPermute(),0,1,
523,mct_avect_copy(),0,1,
524,seq_io_read_r81d(),0,1,
526,mct_gsMap_OrderedPoints(),0,1,
529,shr_mpi_bcast(),0,1,
531,seq_io_read_int1d(),0,1,
533,seq_flds_set(),0,1,
534,mct_sMat_avMult(),0,1,
535,ccsm_comp_barriers(),0,1,
540,seq_infodata_init(),0,1,
546,cpl_esmf_final(),0,1,
548,seq_hist_write(),0,1,
549,seq_domain_check(),0,1,
551,shr_pio_init1(),0,1,
552,t_initf(),0,1,
555,prep_glc_merge(),0,1,
558,seq_flux_atmocnexch_mct(),0,1,
559,mpi_comm_group(),0,1,
561,seq_comm_getinfo(),0,1,
563,i90_label(),0,1,
564,prep_atm_init(),0,1,
565,seq_mctext_gGridInit(),0,1,
568,prep_ocn_mrg(),0,1,
571,prep_ice_merge(),0,1,
572,seq_frac_set(),0,1,
575,seq_mctext_avCreate(),0,1,
576,mct_aVect_initSharedFields(),0,1,
579,seq_map_cart3d(),0,1,
581,MPI_COMM_RANK(),0,1,
583,mct_rearr_init(),0,1,
584,seq_diag_glc_mct(),0,1,
585,seq_comm_setcompstates(),0,1,
586,mpi_group_translate_ranks(),0,1,
587,seq_map_init_rearrolap(),0,1,
588,prep_ice_mrg(),0,1,
590,prep_wav_init(),0,1,
591,t_startf(),0,1,
592,prep_glc_accum_avg(),0,1,
593,t_finalizef(),0,1,
595,ESMF_GridCompSetServices(),0,1,
596,esmfshr_attribute_appl_init(),0,1,
600,seq_frac_check(),0,1,
603,mct_gsmap_bcast(),0,1,
604,seq_io_write_int1d(),0,1,
608,seq_diag_accum_mct(),0,1,
