Source,Target,Type,Id,Weight
6585,4145,Directed,8048,0
6585,4155,Directed,8049,0
6585,2839,Directed,8050,0
812,1223,Directed,8086,0
812,5666,Directed,8087,0
720,2240,Directed,8175,0
2530,6953,Directed,8191,0
6953,1848,Directed,8193,0
6953,4840,Directed,8194,0
1366,5346,Directed,8207,0
5747,1212,Directed,8243,0
6009,6650,Directed,8312,0
3712,3516,Directed,8325,0
2741,4806,Directed,8437,0
2741,5110,Directed,8438,0
504,4840,Directed,8536,0
2391,4516,Directed,8549,0
1178,4246,Directed,8623,0
1178,5834,Directed,8624,0
1178,5427,Directed,8625,0
1038,553,Directed,8634,0
1038,816,Directed,8635,0
5984,4173,Directed,8678,0
3432,4042,Directed,8723,0
3432,1833,Directed,8724,0
3432,5957,Directed,8725,0
3432,5443,Directed,8726,0
3432,6258,Directed,8727,0
3432,6267,Directed,8728,0
3432,4734,Directed,8729,0
3432,695,Directed,8730,0
3432,5056,Directed,8731,0
3432,5833,Directed,8732,0
3432,4977,Directed,8733,0
3432,730,Directed,8734,0
4595,201,Directed,8736,0
4595,5194,Directed,8737,0
4595,2588,Directed,8738,0
4595,4840,Directed,8739,0
4595,5387,Directed,8740,0
2331,553,Directed,8777,0
2331,4840,Directed,8778,0
2331,3221,Directed,8779,0
2331,3608,Directed,8780,0
2331,4068,Directed,8781,0
3599,4840,Directed,8852,0
3599,4390,Directed,8853,0
6393,6786,Directed,8920,0
1964,6198,Directed,8938,0
1964,4840,Directed,8939,0
1964,2463,Directed,8940,0
1964,5459,Directed,8941,0
1964,4145,Directed,8942,0
1964,6450,Directed,8943,0
4791,5346,Directed,8948,0
5899,4840,Directed,8990,0
5899,6393,Directed,8991,0
3366,6393,Directed,9003,0
3366,4840,Directed,9004,0
2936,4840,Directed,9013,0
3178,4840,Directed,9023,0
5736,797,Directed,9166,0
4301,1940,Directed,9212,0
156,6178,Directed,9326,0
2528,1200,Directed,9465,0
2528,5523,Directed,9466,0
2528,5666,Directed,9467,0
2368,4173,Directed,9533,0
1798,4173,Directed,9629,0
5434,1798,Directed,9655,0
6987,4840,Directed,9695,0
1940,3933,Directed,9715,0
5777,6781,Directed,9728,0
5777,4840,Directed,9729,0
5777,3010,Directed,9730,0
3010,4184,Directed,9759,0
3383,4184,Directed,9794,0
4883,2202,Directed,9801,0
4883,4840,Directed,9802,0
3959,1910,Directed,9939,0
1145,421,Directed,9984,0
1145,2431,Directed,9985,0
1145,5709,Directed,9986,0
4190,876,Directed,10125,0
4190,4169,Directed,10126,0
4190,1738,Directed,10127,0
4190,3831,Directed,10128,0
4190,5777,Directed,10129,0
4190,2167,Directed,10130,0
4190,1870,Directed,10131,0
4190,4246,Directed,10132,0
4190,5427,Directed,10133,0
4190,204,Directed,10134,0
4190,5660,Directed,10135,0
4190,5606,Directed,10136,0
4190,6906,Directed,10137,0
4190,19,Directed,10138,0
4190,5834,Directed,10139,0
4190,1404,Directed,10140,0
4190,869,Directed,10141,0
4190,4840,Directed,10142,0
5768,4375,Directed,10205,0
5768,4695,Directed,10206,0
5768,6416,Directed,10207,0
5768,4173,Directed,10208,0
5768,6435,Directed,10209,0
942,4840,Directed,10211,0
942,5387,Directed,10212,0
942,2588,Directed,10213,0
942,201,Directed,10214,0
942,5194,Directed,10215,0
4319,4883,Directed,10313,0
4319,4246,Directed,10314,0
3024,4840,Directed,10337,0
1999,4173,Directed,10421,0
1999,5878,Directed,10422,0
1999,4840,Directed,10423,0
1999,6966,Directed,10424,0
1999,4010,Directed,10425,0
1999,6546,Directed,10426,0
1999,718,Directed,10427,0
1999,3078,Directed,10428,0
1999,1417,Directed,10429,0
1999,1849,Directed,10430,0
1849,4840,Directed,10611,0
4010,4486,Directed,10678,0
4010,4840,Directed,10679,0
505,5387,Directed,10680,0
505,2588,Directed,10681,0
505,4840,Directed,10682,0
505,1978,Directed,10683,0
3048,3862,Directed,10709,0
849,2839,Directed,10713,0
1279,4840,Directed,10717,0
4278,4840,Directed,10743,0
1553,4840,Directed,10746,0
6179,4840,Directed,10749,0
5398,4840,Directed,10759,0
4946,3862,Directed,10766,0
48,4840,Directed,10781,0
6226,4840,Directed,10782,0
6226,5880,Directed,10783,0
4803,4840,Directed,10814,0
5666,2839,Directed,10817,0
4390,4240,Directed,10852,0
5698,3333,Directed,10870,0
5698,338,Directed,10871,0
5517,1276,Directed,10882,0
5517,338,Directed,10883,0
6214,338,Directed,10894,0
6214,5608,Directed,10895,0
3882,338,Directed,10917,0
338,4840,Directed,10928,0
1448,5901,Directed,11035,0
1448,6574,Directed,11036,0
1448,1004,Directed,11037,0
1160,3267,Directed,11140,0
1160,2839,Directed,11141,0
1160,2272,Directed,11142,0
4790,1368,Directed,11151,0
4790,2962,Directed,11152,0
4790,5569,Directed,11153,0
4790,2040,Directed,11154,0
4790,1136,Directed,11155,0
485,5346,Directed,11166,0
485,5857,Directed,11167,0
485,5984,Directed,11168,0
485,4249,Directed,11169,0
485,6128,Directed,11170,0
485,793,Directed,11171,0
485,1610,Directed,11172,0
485,1848,Directed,11173,0
485,2608,Directed,11174,0
485,3207,Directed,11175,0
485,1366,Directed,11176,0
485,5372,Directed,11177,0
485,6817,Directed,11178,0
485,5927,Directed,11179,0
485,688,Directed,11180,0
485,6522,Directed,11181,0
485,5721,Directed,11182,0
485,5917,Directed,11183,0
485,4441,Directed,11184,0
485,4753,Directed,11185,0
485,2856,Directed,11186,0
485,2219,Directed,11187,0
485,2286,Directed,11188,0
485,3846,Directed,11189,0
485,6319,Directed,11190,0
485,3293,Directed,11191,0
485,1999,Directed,11192,0
485,1364,Directed,11193,0
485,6912,Directed,11194,0
485,325,Directed,11195,0
485,1705,Directed,11196,0
485,6852,Directed,11197,0
485,6040,Directed,11198,0
485,1153,Directed,11199,0
485,1038,Directed,11200,0
485,2388,Directed,11201,0
485,5914,Directed,11202,0
485,3205,Directed,11203,0
485,6228,Directed,11204,0
485,152,Directed,11205,0
485,4853,Directed,11206,0
485,783,Directed,11207,0
485,491,Directed,11208,0
485,36,Directed,11209,0
485,3513,Directed,11210,0
485,3039,Directed,11211,0
485,3263,Directed,11212,0
485,4231,Directed,11213,0
485,4190,Directed,11214,0
485,982,Directed,11215,0
485,662,Directed,11216,0
485,1178,Directed,11217,0
485,4065,Directed,11218,0
485,3695,Directed,11219,0
485,2552,Directed,11220,0
485,6436,Directed,11221,0
485,2407,Directed,11222,0
485,5558,Directed,11223,0
485,1448,Directed,11224,0
485,2999,Directed,11225,0
485,5104,Directed,11226,0
485,6081,Directed,11227,0
485,504,Directed,11228,0
485,3099,Directed,11229,0
485,5561,Directed,11230,0
485,2029,Directed,11231,0
485,4491,Directed,11232,0
485,5797,Directed,11233,0
485,6578,Directed,11234,0
485,3991,Directed,11235,0
485,2016,Directed,11236,0
485,5046,Directed,11237,0
485,876,Directed,11238,0
485,2332,Directed,11239,0
485,838,Directed,11240,0
485,2522,Directed,11241,0
485,6189,Directed,11242,0
485,4475,Directed,11243,0
485,2350,Directed,11244,0
485,734,Directed,11245,0
485,5768,Directed,11246,0
485,1785,Directed,11247,0
485,3449,Directed,11248,0
485,6789,Directed,11249,0
485,2091,Directed,11250,0
485,3346,Directed,11251,0
485,817,Directed,11252,0
485,2221,Directed,11253,0
485,4319,Directed,11254,0
485,1594,Directed,11255,0
485,498,Directed,11256,0
485,615,Directed,11257,0
485,6321,Directed,11258,0
485,1382,Directed,11259,0
485,6906,Directed,11260,0
485,1830,Directed,11261,0
485,1371,Directed,11262,0
485,2331,Directed,11263,0
485,1469,Directed,11264,0
485,5696,Directed,11265,0
485,3024,Directed,11266,0
485,1563,Directed,11267,0
485,3453,Directed,11268,0
838,4173,Directed,11302,0
2029,5592,Directed,11350,0
2029,4257,Directed,11351,0
2029,4984,Directed,11352,0
2029,4657,Directed,11353,0
5991,2618,Directed,11361,0
5991,6006,Directed,11362,0
5991,5804,Directed,11363,0
5991,6060,Directed,11364,0
5991,2879,Directed,11365,0
5991,1017,Directed,11366,0
5991,4401,Directed,11367,0
5991,3699,Directed,11368,0
5991,2834,Directed,11369,0
5991,2785,Directed,11370,0
5991,1493,Directed,11371,0
5991,2795,Directed,11372,0
5991,1174,Directed,11373,0
5991,3463,Directed,11374,0
5991,1229,Directed,11375,0
3840,2653,Directed,11379,0
3840,3924,Directed,11380,0
3840,1463,Directed,11381,0
3840,3651,Directed,11382,0
3840,440,Directed,11383,0
3840,3303,Directed,11384,0
3840,2048,Directed,11385,0
3840,4182,Directed,11386,0
3840,3643,Directed,11387,0
3840,5679,Directed,11388,0
3840,3989,Directed,11389,0
3840,544,Directed,11390,0
3840,2898,Directed,11391,0
3840,918,Directed,11392,0
3840,4442,Directed,11393,0
3840,681,Directed,11394,0
3840,5048,Directed,11395,0
3840,2536,Directed,11396,0
3840,3689,Directed,11397,0
