Source,Target,Type,Id,Weight
4478,8149,Directed,8027,0
4478,3364,Directed,8028,0
4919,8094,Directed,8030,0
4919,147,Directed,8031,0
4919,6061,Directed,8032,0
4919,5441,Directed,8033,0
2088,6061,Directed,8055,0
2088,5394,Directed,8056,0
2088,6398,Directed,8057,0
611,6061,Directed,8096,0
611,7308,Directed,8097,0
611,1849,Directed,8098,0
611,6711,Directed,8099,0
2126,6061,Directed,8113,0
4080,1906,Directed,8124,0
5715,1906,Directed,8134,0
5715,6061,Directed,8135,0
4132,6061,Directed,8139,0
8610,6061,Directed,8141,0
6435,4383,Directed,8144,0
1331,1906,Directed,8154,0
3989,3364,Directed,8167,0
3989,6179,Directed,8168,0
3989,293,Directed,8169,0
3989,6645,Directed,8170,0
3989,3,Directed,8171,0
3989,7478,Directed,8172,0
3989,8149,Directed,8173,0
7150,6336,Directed,8236,0
7150,1581,Directed,8237,0
7150,1911,Directed,8238,0
7150,1411,Directed,8239,0
7150,7326,Directed,8240,0
7150,5950,Directed,8241,0
7150,2452,Directed,8242,0
7150,6330,Directed,8243,0
7150,7552,Directed,8244,0
7150,3514,Directed,8245,0
7150,7102,Directed,8246,0
7150,7378,Directed,8247,0
7150,4572,Directed,8248,0
7150,3882,Directed,8249,0
7150,7101,Directed,8250,0
7150,5180,Directed,8251,0
7150,4585,Directed,8252,0
7150,3297,Directed,8253,0
7150,5355,Directed,8254,0
7150,2120,Directed,8255,0
7150,3545,Directed,8256,0
7150,5468,Directed,8257,0
149,8126,Directed,8259,0
149,6061,Directed,8260,0
149,2791,Directed,8261,0
149,6845,Directed,8262,0
4932,1113,Directed,8274,0
4932,1195,Directed,8275,0
4932,8782,Directed,8276,0
4932,365,Directed,8277,0
4932,3990,Directed,8278,0
4932,1460,Directed,8279,0
4932,1137,Directed,8280,0
3807,365,Directed,8292,0
3807,8782,Directed,8293,0
3807,1195,Directed,8294,0
3807,5602,Directed,8295,0
3807,1113,Directed,8296,0
3807,1137,Directed,8297,0
3807,1460,Directed,8298,0
2307,1137,Directed,8311,0
2307,1460,Directed,8312,0
2307,3990,Directed,8313,0
2307,365,Directed,8314,0
2307,8782,Directed,8315,0
2307,1195,Directed,8316,0
2307,1113,Directed,8317,0
2142,7377,Directed,8331,0
2142,1195,Directed,8332,0
2142,3108,Directed,8333,0
2142,3718,Directed,8334,0
2142,1113,Directed,8335,0
2142,1137,Directed,8336,0
2142,8782,Directed,8337,0
2142,365,Directed,8338,0
3718,1460,Directed,8350,0
3718,8420,Directed,8351,0
3718,2359,Directed,8352,0
3718,8782,Directed,8353,0
3718,6275,Directed,8354,0
3718,5440,Directed,8355,0
3718,2469,Directed,8356,0
3718,1113,Directed,8357,0
3718,8542,Directed,8358,0
1558,6824,Directed,8360,0
1558,1113,Directed,8361,0
1558,8154,Directed,8362,0
1558,8782,Directed,8363,0
1558,4311,Directed,8364,0
1558,2503,Directed,8365,0
1558,5191,Directed,8366,0
1558,5411,Directed,8367,0
6375,5191,Directed,8368,0
6375,8556,Directed,8369,0
6375,6824,Directed,8370,0
6375,4666,Directed,8371,0
6375,8782,Directed,8372,0
6375,1113,Directed,8373,0
1015,1535,Directed,8374,0
1015,7117,Directed,8375,0
5968,1113,Directed,8380,0
5968,5191,Directed,8381,0
5968,8782,Directed,8382,0
5968,1165,Directed,8383,0
5968,2824,Directed,8384,0
5950,2826,Directed,8416,0
5950,1593,Directed,8417,0
5950,5633,Directed,8418,0
5950,5468,Directed,8419,0
5950,2431,Directed,8420,0
5950,6301,Directed,8421,0
5950,6336,Directed,8422,0
5950,7552,Directed,8423,0
7378,6336,Directed,8459,0
7378,820,Directed,8460,0
3882,5468,Directed,8500,0
3882,7859,Directed,8501,0
3882,7101,Directed,8502,0
3882,7100,Directed,8503,0
3882,6607,Directed,8504,0
3882,6336,Directed,8505,0
3882,7552,Directed,8506,0
3882,300,Directed,8507,0
3882,4302,Directed,8508,0
2120,8645,Directed,8553,0
2120,2826,Directed,8554,0
2120,5306,Directed,8555,0
2120,4388,Directed,8556,0
2120,6523,Directed,8557,0
2120,4093,Directed,8558,0
2120,5176,Directed,8559,0
2120,3508,Directed,8560,0
2120,1163,Directed,8561,0
2409,5865,Directed,8566,0
2409,2480,Directed,8567,0
2409,6061,Directed,8568,0
2409,861,Directed,8569,0
1552,5968,Directed,8573,0
1552,7854,Directed,8574,0
3167,5367,Directed,8575,0
3167,6061,Directed,8576,0
3167,611,Directed,8577,0
3167,5641,Directed,8578,0
8041,564,Directed,8580,0
8041,3765,Directed,8581,0
8041,6061,Directed,8582,0
8041,614,Directed,8583,0
7854,6805,Directed,8587,0
7854,2297,Directed,8588,0
3729,5411,Directed,8595,0
1924,611,Directed,8601,0
7831,6188,Directed,8620,0
7831,6938,Directed,8621,0
7831,1395,Directed,8622,0
7831,6910,Directed,8623,0
7831,7878,Directed,8624,0
7831,4799,Directed,8625,0
7831,3977,Directed,8626,0
7831,3956,Directed,8627,0
7831,6061,Directed,8628,0
7051,1399,Directed,8643,0
7051,1809,Directed,8644,0
7051,8782,Directed,8645,0
7051,5726,Directed,8646,0
7051,2106,Directed,8647,0
7051,5138,Directed,8648,0
7051,1357,Directed,8649,0
7051,5411,Directed,8650,0
7051,2985,Directed,8651,0
7051,3417,Directed,8652,0
7051,39,Directed,8653,0
7051,3480,Directed,8654,0
7051,5890,Directed,8655,0
7051,96,Directed,8656,0
7051,3396,Directed,8657,0
7051,1113,Directed,8658,0
1194,5411,Directed,8661,0
1194,7758,Directed,8662,0
1194,8785,Directed,8663,0
3296,6806,Directed,8686,0
3296,3026,Directed,8687,0
3296,4276,Directed,8688,0
3296,1113,Directed,8689,0
3296,1499,Directed,8690,0
3296,553,Directed,8691,0
3296,8782,Directed,8692,0
3296,5659,Directed,8693,0
3296,5726,Directed,8694,0
3296,5411,Directed,8695,0
7231,2772,Directed,8697,0
7231,3214,Directed,8698,0
7231,2379,Directed,8699,0
7231,6770,Directed,8700,0
7231,2126,Directed,8701,0
7231,6061,Directed,8702,0
7231,2360,Directed,8703,0
7231,2443,Directed,8704,0
7231,2973,Directed,8705,0
7231,8015,Directed,8706,0
7231,8787,Directed,8707,0
7231,4868,Directed,8708,0
7231,611,Directed,8709,0
499,6061,Directed,8711,0
499,614,Directed,8712,0
499,3765,Directed,8713,0
499,564,Directed,8714,0
2990,3425,Directed,8715,0
4837,2126,Directed,8724,0
4837,3214,Directed,8725,0
4837,2379,Directed,8726,0
4837,611,Directed,8727,0
2991,7494,Directed,8733,0
2991,5726,Directed,8734,0
2991,3838,Directed,8735,0
2991,6061,Directed,8736,0
2991,2401,Directed,8737,0
2991,5394,Directed,8738,0
2991,3214,Directed,8739,0
549,6061,Directed,8753,0
549,6952,Directed,8754,0
549,5394,Directed,8755,0
549,3214,Directed,8756,0
549,1683,Directed,8757,0
549,6677,Directed,8758,0
549,2968,Directed,8759,0
549,2685,Directed,8760,0
549,7494,Directed,8761,0
549,6150,Directed,8762,0
549,3838,Directed,8763,0
2685,5411,Directed,8775,0
2827,1588,Directed,8784,0
2827,5968,Directed,8785,0
2827,1113,Directed,8786,0
2827,5411,Directed,8787,0
2827,6061,Directed,8788,0
2827,5726,Directed,8789,0
2827,8782,Directed,8790,0
4435,6061,Directed,8792,0
4435,564,Directed,8793,0
4435,3765,Directed,8794,0
4435,614,Directed,8795,0
8566,6061,Directed,8796,0
8566,2126,Directed,8797,0
8566,5641,Directed,8798,0
8566,5781,Directed,8799,0
8566,2291,Directed,8800,0
8566,611,Directed,8801,0
1608,5411,Directed,8820,0
4091,7328,Directed,8822,0
4091,8126,Directed,8823,0
4091,733,Directed,8824,0
4091,6776,Directed,8825,0
4091,2838,Directed,8826,0
4091,3050,Directed,8827,0
4091,4194,Directed,8828,0
4091,6061,Directed,8829,0
4091,3112,Directed,8830,0
4091,6845,Directed,8831,0
5048,3484,Directed,8840,0
4481,3484,Directed,8850,0
1613,6061,Directed,8862,0
3599,7653,Directed,8884,0
3599,5646,Directed,8885,0
3599,3713,Directed,8886,0
3599,8782,Directed,8887,0
3599,6061,Directed,8888,0
3599,3723,Directed,8889,0
3599,1113,Directed,8890,0
3599,5943,Directed,8891,0
3599,7665,Directed,8892,0
2493,611,Directed,8893,0
2493,2126,Directed,8894,0
2644,2301,Directed,8898,0
6986,564,Directed,8900,0
6986,3765,Directed,8901,0
6986,6061,Directed,8902,0
6986,2291,Directed,8903,0
6986,614,Directed,8904,0
2674,6717,Directed,8907,0
2596,3480,Directed,8914,0
2596,5411,Directed,8915,0
4909,5979,Directed,8916,0
4909,8642,Directed,8917,0
4909,611,Directed,8918,0
4909,6222,Directed,8919,0
4909,6061,Directed,8920,0
4909,4554,Directed,8921,0
4909,511,Directed,8922,0
511,6061,Directed,8923,0
2229,6061,Directed,8924,0
7572,8537,Directed,8950,0
7915,4919,Directed,8954,0
6237,6061,Directed,8997,0
478,1707,Directed,9002,0
478,3112,Directed,9003,0
478,7328,Directed,9004,0
478,7837,Directed,9005,0
1084,3112,Directed,9009,0
1084,2610,Directed,9010,0
1084,1408,Directed,9011,0
1084,1707,Directed,9012,0
1084,7328,Directed,9013,0
1084,6988,Directed,9014,0
1084,3766,Directed,9015,0
7065,7391,Directed,9025,0
7065,1080,Directed,9026,0
6236,7391,Directed,9031,0
2298,3372,Directed,9035,0
2298,7736,Directed,9036,0
1441,8064,Directed,9043,0
1441,5898,Directed,9044,0
1441,1836,Directed,9045,0
1441,4544,Directed,9046,0
1441,6430,Directed,9047,0
1441,3624,Directed,9048,0
1441,7060,Directed,9049,0
1441,4017,Directed,9050,0
1441,5655,Directed,9051,0
1441,4727,Directed,9052,0
1441,2292,Directed,9053,0
1441,7935,Directed,9054,0
1441,5026,Directed,9055,0
1441,7660,Directed,9056,0
1441,5649,Directed,9057,0
1441,2775,Directed,9058,0
1441,8612,Directed,9059,0
1441,7837,Directed,9060,0
1441,478,Directed,9061,0
1441,5708,Directed,9062,0
1441,4025,Directed,9063,0
1441,968,Directed,9064,0
1441,7761,Directed,9065,0
1441,205,Directed,9066,0
1441,1820,Directed,9067,0
1441,5379,Directed,9068,0
1441,3028,Directed,9069,0
1441,3458,Directed,9070,0
1441,3459,Directed,9071,0
1441,7862,Directed,9072,0
1441,7308,Directed,9073,0
1441,6626,Directed,9074,0
1441,2298,Directed,9075,0
1441,1693,Directed,9076,0
5900,7935,Directed,9082,0
5900,1836,Directed,9083,0
5900,5379,Directed,9084,0
5900,3624,Directed,9085,0
5900,8505,Directed,9086,0
5900,7660,Directed,9087,0
5900,1693,Directed,9088,0
5900,205,Directed,9089,0
5900,7623,Directed,9090,0
5900,7060,Directed,9091,0
5900,2292,Directed,9092,0
5900,968,Directed,9093,0
5900,7308,Directed,9094,0
5900,6430,Directed,9095,0
5900,2775,Directed,9096,0
5900,2298,Directed,9097,0
5900,7761,Directed,9098,0
5900,6701,Directed,9099,0
5900,4727,Directed,9100,0
5900,5898,Directed,9101,0
5900,350,Directed,9102,0
5900,5655,Directed,9103,0
5900,6626,Directed,9104,0
5900,4025,Directed,9105,0
5900,4459,Directed,9106,0
5900,6631,Directed,9107,0
5900,4354,Directed,9108,0
5900,1084,Directed,9109,0
5900,2917,Directed,9110,0
5900,5708,Directed,9111,0
7862,6845,Directed,9115,0
7862,7837,Directed,9116,0
7862,8126,Directed,9117,0
7862,1836,Directed,9118,0
7862,1989,Directed,9119,0
7862,6984,Directed,9120,0
7862,101,Directed,9121,0
7862,5550,Directed,9122,0
7862,4194,Directed,9123,0
7862,4858,Directed,9124,0
7862,2271,Directed,9125,0
4459,6984,Directed,9129,0
4459,3019,Directed,9130,0
4459,6845,Directed,9131,0
4459,1836,Directed,9132,0
4459,8126,Directed,9133,0
4459,4858,Directed,9134,0
4459,961,Directed,9135,0
4459,101,Directed,9136,0
4459,1989,Directed,9137,0
4459,4194,Directed,9138,0
3662,2834,Directed,9142,0
182,7761,Directed,9149,0
182,5379,Directed,9150,0
182,3938,Directed,9151,0
182,6717,Directed,9152,0
182,5708,Directed,9153,0
182,2298,Directed,9154,0
182,1693,Directed,9155,0
182,3028,Directed,9156,0
182,8782,Directed,9157,0
182,3624,Directed,9158,0
