Source,Target,Type,Id,Weight
1505,3104,Directed,8001,0
3104,257,Directed,8003,0
3104,2429,Directed,8004,0
2516,183,Directed,8016,0
952,1327,Directed,8092,0
952,2683,Directed,8093,0
952,2429,Directed,8094,0
1267,1836,Directed,8106,0
1267,2550,Directed,8107,0
2165,1381,Directed,8188,0
2165,1057,Directed,8189,0
2165,315,Directed,8190,0
1324,1166,Directed,8221,0
1556,1381,Directed,8314,0
1722,3149,Directed,8395,0
1722,1636,Directed,8396,0
1722,1486,Directed,8397,0
1722,1166,Directed,8398,0
965,1209,Directed,8402,0
965,2296,Directed,8403,0
965,2033,Directed,8404,0
965,1225,Directed,8405,0
965,1459,Directed,8406,0
965,2429,Directed,8407,0
240,2394,Directed,8425,0
240,2429,Directed,8426,0
742,2550,Directed,8441,0
2836,2815,Directed,8445,0
2836,2550,Directed,8446,0
2348,183,Directed,8450,0
481,1209,Directed,8482,0
481,2170,Directed,8483,0
481,1691,Directed,8484,0
481,382,Directed,8485,0
481,1973,Directed,8486,0
481,2429,Directed,8487,0
1157,2550,Directed,8493,0
1157,2836,Directed,8494,0
1157,2429,Directed,8495,0
3010,2550,Directed,8502,0
3010,2836,Directed,8503,0
3010,2429,Directed,8504,0
2210,2550,Directed,8509,0
2210,2429,Directed,8510,0
2657,2550,Directed,8516,0
2657,2429,Directed,8517,0
1308,1381,Directed,8651,0
1308,1057,Directed,8652,0
1308,3149,Directed,8653,0
1308,1631,Directed,8654,0
1308,1636,Directed,8655,0
1308,628,Directed,8656,0
1308,844,Directed,8657,0
1308,315,Directed,8658,0
1308,2429,Directed,8659,0
1441,2429,Directed,8676,0
548,1327,Directed,8747,0
548,2457,Directed,8748,0
548,1149,Directed,8749,0
548,3129,Directed,8750,0
548,1166,Directed,8751,0
548,2351,Directed,8752,0
548,1133,Directed,8753,0
548,988,Directed,8754,0
548,2429,Directed,8755,0
548,1494,Directed,8756,0
953,1626,Directed,8777,0
953,508,Directed,8778,0
953,258,Directed,8779,0
953,2429,Directed,8780,0
2500,2296,Directed,8784,0
3129,2550,Directed,8829,0
1133,2550,Directed,8858,0
2351,2550,Directed,8881,0
1494,2550,Directed,8926,0
1494,2429,Directed,8927,0
988,2550,Directed,8988,0
988,1788,Directed,8989,0
988,2429,Directed,8990,0
1742,392,Directed,8991,0
1742,2429,Directed,8992,0
2368,2429,Directed,8997,0
1430,2429,Directed,9001,0
2362,2429,Directed,9005,0
1445,2429,Directed,9029,0
277,2429,Directed,9034,0
792,2185,Directed,9111,0
792,643,Directed,9112,0
792,2429,Directed,9113,0
478,2357,Directed,9144,0
478,643,Directed,9145,0
478,2429,Directed,9146,0
1723,632,Directed,9179,0
1723,643,Directed,9180,0
1723,2429,Directed,9181,0
720,643,Directed,9227,0
720,2429,Directed,9228,0
643,2429,Directed,9238,0
2394,1370,Directed,9269,0
2346,629,Directed,9288,0
2346,2524,Directed,9289,0
2346,2064,Directed,9290,0
2346,2245,Directed,9291,0
2346,563,Directed,9292,0
920,1556,Directed,9317,0
920,1297,Directed,9318,0
920,873,Directed,9319,0
920,2527,Directed,9320,0
920,2514,Directed,9321,0
