Id,Label,extime_copy,group,folder
5,hist_add_subscript(),0,1,
8,get_clump_bounds_old(),0,1,
28,CNPrecisionControl(),0,1,
30,readCNDecompParams(),0,1,
31,init_gridcell_efstate_type(),0,1,
48,read_data_if_needed_interface(),0,1,
57,extract_accum_field(),0,1,
61,init_decomp_cascade_constants(),0,1,
74,domain_init(),0,1,
85,DivideSnowLayers_Lake(),0,1,
87,restFile_read(),0,1,
94,hdm_init(),0,1,
105,FracWet(),0,1,
112,p2g_1d(),0,1,
123,init_decompcascade_cn(),0,1,
124,interp_1d_double(),0,1,
150,shr_sys_flush(),0,1,
156,restFile_open(),0,1,
160,control_spmd(),0,1,
162,shr_strdata_advance(),0,1,
164,ncd_putatt(),0,1,
171,CNNLeaching(),0,1,
176,l2g(),0,1,
177,init_column_nflux_type(),0,1,
178,CNNFert(),0,1,
179,net_solar(),0,1,
183,get_curr_date(),0,1,
189,CNSetPepv(),0,1,
193,dynHarvest_file%update_time_info(),0,1,
205,CNFireFluxes(),0,1,
206,scatter_data_from_master(),0,1,
212,NStateUpdate2h(),0,1,
220,CNFireInterp(),0,1,
229,CropPhenologyInit(),0,1,
240,brent(),0,1,
241,shr_scam_getCloseLatLon(),0,1,
244,CropRest(),0,1,
248,reweightWrapup(),0,1,
256,interp_0d_copy(),0,1,
257,get_clump_bounds(),0,1,
258,relavu(),0,1,
277,check_sums_equal_1(),0,1,
291,mpi_barrier(),0,1,
304,shr_strdata_print(),0,1,
306,ncd_inqdid(),0,1,
307,p2c_1d_filter(),0,1,
309,initColdCNDV(),0,1,
310,CombineSnowLayers(),0,1,
314,update_clm_s2x(),0,1,
315,MoninObukIni(),0,1,
325,get_proc_total(),0,1,
329,downscale_longwave(),0,1,
332,init_water_balance_type(),0,1,
345,gather_data_to_master(),0,1,
351,SoilThermProp(),0,1,
376,surfrd_get_grid(),0,1,
382,getfil(),0,1,
383,init_pft_cstate_type(),0,1,
392,get_start_date(),0,1,
398,get_clmlevel_gsmap(),0,1,
406,this%read_data_if_needed(),0,1,
409,dynSubgrid_init(),0,1,
414,get_clump_bounds_new(),0,1,
417,UrbanSnowAlbedo(),0,1,
437,wtpft%get_current_data(),0,1,
442,Phasechange_beta(),0,1,
444,clm_map2gcell_minimal(),0,1,
459,readAnnualVegetation(),0,1,
473,SoilWater(),0,1,
477,hist_do_disp(),0,1,
478,CIsoFlux2(),0,1,
481,C14_init_BombSpike(),0,1,
486,CNSetCns(),0,1,
491,hist_addfld1d(),0,1,
492,get_prev_time(),0,1,
507,nitrif_denitrif(),0,1,
508,mpi_bcast(),0,1,
509,restFile_getfile(),0,1,
514,init_column_estate_type(),0,1,
521,mct_gsMap_init(),0,1,
525,masterlist_make_active(),0,1,
526,Hydrology2NoDrainage(),0,1,
528,setFiltersOneGroup(),0,1,
534,get_proc_bounds_new(),0,1,
545,dyn_cnbal_pft(),0,1,
548,ch4(),0,1,
551,restFile_write(),0,1,
553,get_current_data_1d(),0,1,
560,CNOnsetGrowth(),0,1,
563,mct_gGrid_init(),0,1,
564,set_timemgr_init(),0,1,
565,SLakeRest(),0,1,
573,compute_higher_order_weights(),0,1,
574,setActive(),0,1,
576,htape_create(),0,1,
582,init_landunit_type(),0,1,
586,CNOffsetLitterfall(),0,1,
588,depvel_compute(),0,1,
595,p2c_2d(),0,1,
604,surfrd_veg_all(),0,1,
616,init_accum_field(),0,1,
621,init_column_type(),0,1,
623,CNPhenologyClimate(),0,1,
627,p2g_2d(),0,1,
628,Photosynthesis(),0,1,
629,mct_gGrid_importIAttr(),0,1,
632,CNCIsoHarvestPftToColumn(),0,1,
635,get_proc_bounds_old(),0,1,
637,downscale_forcings(),0,1,
638,CNFireInit(),0,1,
640,init_lnd2glc_type(),0,1,
643,CIsoFluxCalc(),0,1,
649,dynHarvest_init(),0,1,
654,init_pft_DGVMecophys_constants(),0,1,
655,DustEmission(),0,1,
660,init_pft_estate_type(),0,1,
662,surfrd_get_data(),0,1,
664,readParameters(),0,1,
674,ncd_inqvid(),0,1,
679,set_mindist(),0,1,
680,SnowWater(),0,1,
683,CNFireArea(),0,1,
685,pio_seterrorhandling(),0,1,
715,CNHarvest(),0,1,
720,CIsoFlux3(),0,1,
725,initSoilParVIC(),0,1,
727,p2l_1d(),0,1,
731,read_variable_2d(),0,1,
740,SurfaceRunoff(),0,1,
742,build_normalization(),0,1,
749,readCNPhenolParams(),0,1,
750,htape_timeconst3D(),0,1,
765,PhaseChangeH2osfc(),0,1,
770,l2g_2d(),0,1,
776,initAccFlds(),0,1,
782,list_index(),0,1,
783,hist_update_hbuf_field_2d(),0,1,
784,hist_printflds(),0,1,
788,UrbanRadiation(),0,1,
792,CIsoFlux1(),0,1,
801,SLakeTemperature(),0,1,
807,CropPhenology(),0,1,
814,net_longwave(),0,1,
819,CNGResp(),0,1,
827,p2c_2d_filter(),0,1,
831,NStateUpdate1(),0,1,
832,CNGapPftToColumn(),0,1,
836,ncd_pio_init(),0,1,
840,CNSetCcs(),0,1,
