Source,Target,Type,Id,Weight
1573,279,Directed,8001,0
1573,2540,Directed,8002,0
2649,184,Directed,8016,0
982,1378,Directed,8107,0
982,2829,Directed,8108,0
982,2540,Directed,8109,0
1315,1929,Directed,8122,0
2259,1440,Directed,8205,0
2259,2991,Directed,8206,0
2259,332,Directed,8207,0
1375,1309,Directed,8248,0
1622,1440,Directed,8349,0
1805,3338,Directed,8435,0
1805,1717,Directed,8436,0
1805,1550,Directed,8437,0
1805,1309,Directed,8438,0
993,1251,Directed,8518,0
993,934,Directed,8519,0
993,1647,Directed,8520,0
993,1383,Directed,8521,0
993,2540,Directed,8522,0
256,2501,Directed,8540,0
256,2540,Directed,8541,0
2165,2997,Directed,8561,0
2443,184,Directed,8565,0
500,1251,Directed,8596,0
500,2265,Directed,8597,0
500,1781,Directed,8598,0
500,390,Directed,8599,0
500,1463,Directed,8600,0
500,2540,Directed,8601,0
1197,2165,Directed,8621,0
1197,2540,Directed,8622,0
3201,2165,Directed,8643,0
3201,2540,Directed,8644,0
3203,2540,Directed,8660,0
2802,2540,Directed,8677,0
2106,1440,Directed,8815,0
2106,2991,Directed,8816,0
2106,3338,Directed,8817,0
2106,1707,Directed,8818,0
2106,1717,Directed,8819,0
2106,656,Directed,8820,0
2106,880,Directed,8821,0
2106,332,Directed,8822,0
2106,2540,Directed,8823,0
1500,2540,Directed,8842,0
557,3213,Directed,9050,0
557,2878,Directed,9051,0
983,2279,Directed,9074,0
983,519,Directed,9075,0
983,280,Directed,9076,0
983,2540,Directed,9077,0
2628,1251,Directed,9084,0
2628,1647,Directed,9085,0
288,2540,Directed,9231,0
1018,1872,Directed,9294,0
1018,2540,Directed,9295,0
1826,1178,Directed,9296,0
1826,2540,Directed,9297,0
1489,279,Directed,9319,0
1489,2540,Directed,9320,0
825,3197,Directed,9420,0
825,672,Directed,9421,0
825,2540,Directed,9422,0
492,2454,Directed,9473,0
492,672,Directed,9474,0
492,2540,Directed,9475,0
1806,661,Directed,9529,0
1806,672,Directed,9530,0
1806,2540,Directed,9531,0
751,672,Directed,9600,0
751,2540,Directed,9601,0
672,2540,Directed,9611,0
2501,1426,Directed,9642,0
1377,2147,Directed,9645,0
1266,2908,Directed,9693,0
945,1622,Directed,9706,0
945,1344,Directed,9707,0
945,910,Directed,9708,0
945,2662,Directed,9709,0
945,710,Directed,9710,0
945,2647,Directed,9711,0
945,1942,Directed,9712,0
945,1266,Directed,9713,0
945,192,Directed,9714,0
945,2874,Directed,9715,0
945,557,Directed,9716,0
945,213,Directed,9717,0
945,1800,Directed,9718,0
945,1098,Directed,9719,0
945,1518,Directed,9720,0
945,3155,Directed,9721,0
945,684,Directed,9722,0
945,1191,Directed,9723,0
945,1306,Directed,9724,0
945,2404,Directed,9725,0
945,606,Directed,9726,0
945,233,Directed,9727,0
945,538,Directed,9728,0
945,833,Directed,9729,0
945,2259,Directed,9730,0
945,2270,Directed,9731,0
945,1079,Directed,9732,0
945,1517,Directed,9733,0
945,2754,Directed,9734,0
945,561,Directed,9735,0
945,2877,Directed,9736,0
945,3054,Directed,9737,0
945,3169,Directed,9738,0
945,184,Directed,9739,0
945,2649,Directed,9740,0
945,988,Directed,9741,0
945,982,Directed,9742,0
945,279,Directed,9743,0
945,2609,Directed,9744,0
945,1936,Directed,9745,0
945,1646,Directed,9746,0
945,1500,Directed,9747,0
945,1227,Directed,9748,0
945,1375,Directed,9749,0
945,3338,Directed,9750,0
945,1584,Directed,9751,0
945,1717,Directed,9752,0
945,2257,Directed,9753,0
945,821,Directed,9754,0
945,2106,Directed,9755,0
945,2987,Directed,9756,0
945,1247,Directed,9757,0
945,3011,Directed,9758,0
945,2866,Directed,9759,0
945,3053,Directed,9760,0
945,2028,Directed,9761,0
945,72,Directed,9762,0
945,1805,Directed,9763,0
945,2282,Directed,9764,0
945,3243,Directed,9765,0
945,2540,Directed,9766,0
2754,1378,Directed,9783,0
2754,934,Directed,9784,0
2754,2829,Directed,9785,0
1946,934,Directed,9808,0
1946,2540,Directed,9809,0
2543,934,Directed,9838,0
2543,2540,Directed,9839,0
1107,1309,Directed,9992,0
2611,2540,Directed,9997,0
2877,1309,Directed,10020,0
2454,2540,Directed,10081,0
661,2540,Directed,10131,0
3197,2540,Directed,10157,0
1943,518,Directed,10219,0
1943,1098,Directed,10220,0
1943,1107,Directed,10221,0
1943,677,Directed,10222,0
2954,934,Directed,10232,0
192,2148,Directed,10244,0
192,2211,Directed,10245,0
192,2096,Directed,10246,0
192,1212,Directed,10247,0
192,1580,Directed,10248,0
192,2652,Directed,10249,0
192,31,Directed,10250,0
192,956,Directed,10251,0
192,1379,Directed,10252,0
192,2268,Directed,10253,0
192,2773,Directed,10254,0
192,2791,Directed,10255,0
192,744,Directed,10256,0
192,714,Directed,10257,0
192,1104,Directed,10258,0
192,3338,Directed,10259,0
192,2837,Directed,10260,0
192,852,Directed,10261,0
192,1508,Directed,10262,0
192,1717,Directed,10263,0
192,2487,Directed,10264,0
192,1166,Directed,10265,0
192,221,Directed,10266,0
192,2231,Directed,10267,0
192,864,Directed,10268,0
192,1521,Directed,10269,0
192,1827,Directed,10270,0
192,1943,Directed,10271,0
192,173,Directed,10272,0
2599,2611,Directed,10279,0
2599,667,Directed,10280,0
2599,2587,Directed,10281,0
714,184,Directed,10367,0
714,1309,Directed,10368,0
2837,184,Directed,10535,0
667,1090,Directed,10538,0
667,2896,Directed,10539,0
667,89,Directed,10540,0
667,1201,Directed,10541,0
233,1090,Directed,10542,0
233,1201,Directed,10543,0
956,1841,Directed,10630,0
744,3091,Directed,10829,0
1325,3215,Directed,10903,0
1325,2707,Directed,10904,0
1325,2097,Directed,10905,0
1325,874,Directed,10906,0
1325,737,Directed,10907,0
1325,2206,Directed,10908,0
1325,1962,Directed,10909,0
1325,934,Directed,10910,0
1325,2128,Directed,10911,0
1325,191,Directed,10912,0
1325,505,Directed,10913,0
1325,1883,Directed,10914,0
901,934,Directed,11174,0
181,1309,Directed,11260,0
1379,2317,Directed,11346,0
1379,3147,Directed,11347,0
1379,2116,Directed,11348,0
1379,2893,Directed,11349,0
1379,2913,Directed,11350,0
1379,1217,Directed,11351,0
1379,41,Directed,11352,0
1379,2216,Directed,11353,0
1379,1982,Directed,11354,0
2913,184,Directed,11369,0
3018,1251,Directed,11599,0
3018,934,Directed,11600,0
3018,552,Directed,11601,0
3018,1647,Directed,11602,0
3018,2540,Directed,11603,0
552,1251,Directed,11613,0
552,1647,Directed,11614,0
2148,1872,Directed,11758,0
2148,2540,Directed,11759,0
2726,1309,Directed,11775,0
2652,2707,Directed,11926,0
2652,2128,Directed,11927,0
2652,737,Directed,11928,0
2652,2206,Directed,11929,0
330,3076,Directed,12017,0
2681,1377,Directed,12026,0
2681,572,Directed,12027,0
2681,1329,Directed,12028,0
2681,1450,Directed,12029,0
2681,1003,Directed,12030,0
2681,2210,Directed,12031,0
2681,906,Directed,12032,0
2681,2540,Directed,12033,0
2681,280,Directed,12034,0
3129,2540,Directed,12035,0
2966,2540,Directed,12037,0
906,519,Directed,12038,0
3243,934,Directed,12043,0
3243,2540,Directed,12044,0
2997,2540,Directed,12047,0
844,1689,Directed,12089,0
844,184,Directed,12090,0
260,934,Directed,12101,0
260,1251,Directed,12102,0
260,1826,Directed,12103,0
260,1647,Directed,12104,0
1508,2540,Directed,12118,0
2231,2540,Directed,12250,0
2487,2540,Directed,12313,0
2268,2540,Directed,12379,0
2773,2540,Directed,12465,0
2211,1309,Directed,12764,0
2211,2540,Directed,12765,0
677,2540,Directed,12782,0
1098,2540,Directed,12805,0
606,1295,Directed,12833,0
606,2540,Directed,12834,0
1470,3076,Directed,12856,0
82,3076,Directed,12877,0
82,2540,Directed,12878,0
2923,2540,Directed,12932,0
684,2540,Directed,12976,0
1318,934,Directed,12978,0
1318,2540,Directed,12979,0
2987,2182,Directed,12994,0
2987,1118,Directed,12995,0
2987,2570,Directed,12996,0
1502,934,Directed,13051,0
1502,2540,Directed,13052,0
2182,2540,Directed,13087,0
3213,2878,Directed,13183,0
89,2695,Directed,13202,0
89,506,Directed,13203,0
89,1329,Directed,13204,0
89,1793,Directed,13205,0
89,1587,Directed,13206,0
89,2540,Directed,13207,0
89,280,Directed,13208,0
89,1417,Directed,13209,0
1090,184,Directed,13210,0
1090,156,Directed,13211,0
1090,934,Directed,13212,0
1287,1251,Directed,13227,0
1287,1647,Directed,13228,0
1287,934,Directed,13229,0
3306,1251,Directed,13236,0
3306,1287,Directed,13237,0
3306,1647,Directed,13238,0
910,1251,Directed,13246,0
910,2076,Directed,13247,0
910,184,Directed,13248,0
910,1577,Directed,13249,0
910,2809,Directed,13250,0
910,2981,Directed,13251,0
910,1647,Directed,13252,0
910,1463,Directed,13253,0
910,934,Directed,13254,0
910,1228,Directed,13255,0
910,160,Directed,13256,0
910,3053,Directed,13257,0
910,275,Directed,13258,0
506,934,Directed,13285,0
506,3205,Directed,13286,0
506,207,Directed,13287,0
506,2540,Directed,13288,0
3172,934,Directed,13315,0
3172,3205,Directed,13316,0
3172,207,Directed,13317,0
3172,2540,Directed,13318,0
2260,506,Directed,13329,0
2260,3172,Directed,13330,0
2260,2540,Directed,13331,0
4,2540,Directed,13334,0
1428,507,Directed,13342,0
1428,2685,Directed,13343,0
1428,2134,Directed,13344,0
1428,143,Directed,13345,0
1191,184,Directed,13348,0
1191,1707,Directed,13349,0
1191,1463,Directed,13350,0
1191,143,Directed,13351,0
1191,2265,Directed,13352,0
1191,2428,Directed,13353,0
1191,3038,Directed,13354,0
1191,2076,Directed,13355,0
1191,2643,Directed,13356,0
1191,3338,Directed,13357,0
1191,1717,Directed,13358,0
1191,3306,Directed,13359,0
1191,1228,Directed,13360,0
1191,779,Directed,13361,0
1191,592,Directed,13362,0
1191,490,Directed,13363,0
470,3172,Directed,13405,0
470,506,Directed,13406,0
470,819,Directed,13407,0
470,2260,Directed,13408,0
819,143,Directed,13409,0
3352,1251,Directed,13415,0
3352,1577,Directed,13416,0
3352,1463,Directed,13417,0
3352,2472,Directed,13418,0
3352,2265,Directed,13419,0
3352,934,Directed,13420,0
3352,124,Directed,13421,0
3352,2076,Directed,13422,0
3352,1781,Directed,13423,0
3352,390,Directed,13424,0
3352,1647,Directed,13425,0
3352,592,Directed,13426,0
3352,2004,Directed,13427,0
3352,2540,Directed,13428,0
2874,934,Directed,13429,0
2874,329,Directed,13430,0
2874,817,Directed,13431,0
329,1378,Directed,13448,0
329,179,Directed,13449,0
329,2829,Directed,13450,0
329,2540,Directed,13451,0
817,1378,Directed,13469,0
817,179,Directed,13470,0
817,2829,Directed,13471,0
817,2540,Directed,13472,0
2134,2202,Directed,13473,0
2134,1498,Directed,13474,0
2134,143,Directed,13475,0
2134,2540,Directed,13476,0
2202,934,Directed,13480,0
2202,2472,Directed,13481,0
2202,2540,Directed,13482,0
592,160,Directed,13485,0
592,1577,Directed,13486,0
592,2809,Directed,13487,0
592,275,Directed,13488,0
592,2472,Directed,13489,0
592,143,Directed,13490,0
2428,1251,Directed,13495,0
2428,2809,Directed,13496,0
2428,184,Directed,13497,0
2428,1647,Directed,13498,0
2428,1228,Directed,13499,0
2428,934,Directed,13500,0
2428,160,Directed,13501,0
2428,3053,Directed,13502,0
779,1251,Directed,13517,0
779,1378,Directed,13518,0
779,934,Directed,13519,0
779,1513,Directed,13520,0
779,1647,Directed,13521,0
779,2540,Directed,13522,0
1011,256,Directed,13536,0
1011,2501,Directed,13537,0
3011,2207,Directed,13617,0
3011,857,Directed,13618,0
3011,1309,Directed,13619,0
1003,2695,Directed,13621,0
1003,1329,Directed,13622,0
1003,2279,Directed,13623,0
1003,280,Directed,13624,0
1003,2540,Directed,13625,0
1079,330,Directed,13737,0
1079,1470,Directed,13738,0
1079,2923,Directed,13739,0
1079,117,Directed,13740,0
1079,1762,Directed,13741,0
1079,711,Directed,13742,0
1079,3032,Directed,13743,0
1079,769,Directed,13744,0
1079,487,Directed,13745,0
1079,1636,Directed,13746,0
896,2540,Directed,13758,0
1486,2540,Directed,13769,0
117,2207,Directed,13821,0
538,1251,Directed,13835,0
538,390,Directed,13836,0
538,1463,Directed,13837,0
538,2472,Directed,13838,0
538,143,Directed,13839,0
538,934,Directed,13840,0
538,2265,Directed,13841,0
538,1653,Directed,13842,0
538,519,Directed,13843,0
538,2540,Directed,13844,0
1025,934,Directed,13880,0
1025,348,Directed,13881,0
1025,2540,Directed,13882,0
805,1941,Directed,13883,0
805,423,Directed,13884,0
54,495,Directed,13886,0
54,1563,Directed,13887,0
1988,3002,Directed,13888,0
1988,687,Directed,13889,0
1988,61,Directed,13890,0
1988,528,Directed,13891,0
1988,2016,Directed,13892,0
