Id,Label,extime_copy,group,folder
4,hist_add_subscript(),0,1,
20,restFile_read(),0,1,
31,CNPrecisionControl(),0,1,
35,init_gridcell_efstate_type(),0,1,
41,CNOnsetGrowth(),0,1,
54,initch4(),0,1,
59,init_decomp_cascade_constants(),0,1,
61,init_pft_cstate_type(),0,1,
62,init_column_nflux_type(),0,1,
69,init_carbon_balance_type(),0,1,
71,domain_init(),0,1,
72,update_finundated(),0,1,
82,DivideSnowLayers_Lake(),0,1,
89,hdm_init(),0,1,
108,p2g_1d(),0,1,
117,Infiltration(),0,1,
124,ncd_inqvid(),0,1,
143,shr_sys_flush(),0,1,
156,shr_strdata_advance(),0,1,
158,setActive(),0,1,
160,ncd_putatt(),0,1,
173,CNNLeaching(),0,1,
179,l2g(),0,1,
181,CNNFert(),0,1,
182,net_solar(),0,1,
184,get_curr_date(),0,1,
191,CNSetPepv(),0,1,
192,CNEcosystemDyn(),0,1,
198,subgrid_get_gcellinfo(),0,1,
204,UrbanClumpInit(),0,1,
205,init_pft_mflux_type(),0,1,
207,masterlist_addfld(),0,1,
213,updateAccFlds(),0,1,
218,update_accum_field(),0,1,
221,NStateUpdate2h(),0,1,
223,get_perp_date(),0,1,
233,CNFireInterp(),0,1,
239,UrbanInitTimeVar(),0,1,
245,CropPhenologyInit(),0,1,
256,brent(),0,1,
260,CropRest(),0,1,
275,ncd_pio_createfile(),0,1,
279,get_clump_bounds(),0,1,
280,relavu(),0,1,
288,ch4_prod(),0,1,
311,p2c_2d(),0,1,
327,p2c_1d_filter(),0,1,
329,hist_update_hbuf_field_1d(),0,1,
330,CombineSnowLayers(),0,1,
332,MoninObukIni(),0,1,
343,init_water_balance_type(),0,1,
348,extract_accum_field(),0,1,
384,surfrd_get_grid(),0,1,
390,getfil(),0,1,
408,UrbanInitAero(),0,1,
416,initSurfAlb(),0,1,
423,init_accum_field(),0,1,
452,Phasechange_beta(),0,1,
454,l2g_1d(),0,1,
455,init_column_type(),0,1,
465,restFile_closeRestart(),0,1,
467,readAnnualVegetation(),0,1,
470,hist_initFlds(),0,1,
472,init_landunit_eflux_type(),0,1,
487,SoilWater(),0,1,
490,hist_do_disp(),0,1,
492,CIsoFlux2(),0,1,
495,makearbinit_ch4(),0,1,
500,C14_init_BombSpike(),0,1,
505,CNSetCns(),0,1,
506,hist_addfld1d(),0,1,
507,get_prev_time(),0,1,
517,set_landunit_crop_noncompete(),0,1,
518,nitrif_denitrif(),0,1,
519,mpi_bcast(),0,1,
521,restFile_getfile(),0,1,
528,init_column_estate_type(),0,1,
538,inicPerp(),0,1,
552,cnrest_addfld_decomp(),0,1,
557,ch4(),0,1,
561,restFile_write(),0,1,
572,set_timemgr_init(),0,1,
574,SLakeRest(),0,1,
592,htape_create(),0,1,
606,depvel_compute(),0,1,
640,UrbanSnowAlbedo(),0,1,
654,p2g_2d(),0,1,
656,Photosynthesis(),0,1,
661,CNCIsoHarvestPftToColumn(),0,1,
667,CNFireInit(),0,1,
669,init_lnd2glc_type(),0,1,
672,CIsoFluxCalc(),0,1,
677,decomp_rate_constants(),0,1,
683,init_pft_DGVMecophys_constants(),0,1,
684,DustEmission(),0,1,
687,init_pft_estate_type(),0,1,
691,surfrd_get_data(),0,1,
703,initmicrobe(),0,1,
710,pftdyn_interp(),0,1,
711,SnowWater(),0,1,
