Source,Target,Type,Id,Weight
2685,3101,Directed,8009,0
2685,258,Directed,8010,0
2685,76,Directed,8011,0
3085,2934,Directed,8030,0
1914,3990,Directed,8124,0
3990,3101,Directed,8126,0
3990,323,Directed,8127,0
3219,223,Directed,8139,0
2117,1599,Directed,8142,0
1214,3101,Directed,8264,0
1607,2356,Directed,8277,0
2765,1668,Directed,8385,0
2765,1213,Directed,8386,0
2765,735,Directed,8387,0
2765,3637,Directed,8388,0
2765,1743,Directed,8389,0
2765,386,Directed,8390,0
2765,1305,Directed,8391,0
2765,2004,Directed,8392,0
2765,3122,Directed,8393,0
2765,404,Directed,8394,0
2765,1170,Directed,8395,0
2765,3587,Directed,8396,0
2765,4017,Directed,8397,0
2765,3496,Directed,8398,0
2765,2680,Directed,8399,0
1667,1599,Directed,8428,0
299,3059,Directed,8449,0
299,3101,Directed,8450,0
3970,3101,Directed,8527,0
3970,1375,Directed,8528,0
3620,3597,Directed,8555,0
2998,223,Directed,8558,0
606,3101,Directed,8591,0
606,2769,Directed,8592,0
606,470,Directed,8593,0
606,1545,Directed,8594,0
606,1768,Directed,8595,0
606,2165,Directed,8596,0
1470,3620,Directed,8603,0
1470,3101,Directed,8604,0
3863,3101,Directed,8612,0
3863,3620,Directed,8613,0
3866,3101,Directed,8619,0
3385,3101,Directed,8626,0
343,53,Directed,8859,0
2077,3038,Directed,8889,0
3558,3101,Directed,8917,0
3558,1318,Directed,8918,0
3558,2981,Directed,8919,0
2981,1626,Directed,8944,0
3247,3101,Directed,8962,0
3247,1174,Directed,8963,0
1640,3558,Directed,9133,0
1640,3101,Directed,9134,0
1640,735,Directed,9135,0
1640,915,Directed,9136,0
1640,3303,Directed,9137,0
1640,404,Directed,9138,0
1640,4017,Directed,9139,0
1640,2004,Directed,9140,0
1640,3122,Directed,9141,0
1640,3442,Directed,9142,0
1640,1305,Directed,9143,0
1640,430,Directed,9144,0
1640,3637,Directed,9145,0
1640,3587,Directed,9146,0
1640,1213,Directed,9147,0
1640,3496,Directed,9148,0
1640,1668,Directed,9149,0
1640,792,Directed,9150,0
1640,4049,Directed,9151,0
1640,1081,Directed,9152,0
1640,39,Directed,9153,0
1640,795,Directed,9154,0
1640,387,Directed,9155,0
1640,1743,Directed,9156,0
1640,1170,Directed,9157,0
1640,3549,Directed,9158,0
1640,2680,Directed,9159,0
1640,386,Directed,9160,0
1640,3357,Directed,9161,0
1164,1599,Directed,9213,0
1164,2741,Directed,9214,0
1164,1967,Directed,9215,0
1164,2702,Directed,9216,0
1164,2426,Directed,9217,0
2239,2058,Directed,9219,0
2239,3945,Directed,9220,0
2239,324,Directed,9221,0
2239,3101,Directed,9222,0
2239,472,Directed,9223,0
1911,1743,Directed,9316,0
1911,3247,Directed,9317,0
1122,503,Directed,9320,0
2676,1036,Directed,9355,0
2676,1701,Directed,9356,0
2676,1006,Directed,9357,0
3013,3101,Directed,9374,0
689,3002,Directed,9454,0
689,3142,Directed,9455,0
689,3320,Directed,9456,0
689,4022,Directed,9457,0
689,1670,Directed,9458,0
689,1599,Directed,9459,0
689,3335,Directed,9460,0
689,1444,Directed,9461,0
689,3101,Directed,9462,0
689,331,Directed,9463,0
1215,3101,Directed,9464,0
1215,639,Directed,9465,0
1215,2058,Directed,9466,0
1215,324,Directed,9467,0
331,3101,Directed,9628,0
3320,3101,Directed,9677,0
3320,2295,Directed,9678,0
2226,485,Directed,9695,0
2226,3101,Directed,9696,0
3026,3101,Directed,9701,0
3910,868,Directed,9707,0
2007,2619,Directed,9711,0
3016,3101,Directed,9715,0
1832,3101,Directed,9739,0
3654,3101,Directed,9742,0
2100,3101,Directed,9745,0
