Id,Label,extime_copy,group,folder
3,get_clump_bounds_old(),0,1,CLM_45_r97
5,hist_add_subscript(),0,1,CLM_45_r97
13,init_patches(),0,1,CLM_45_r97
14,HydrologyDrainage(),0,1,CLM_45_r97
16,c14_cnveg_carbonflux_inst%Summary(),0,1,CLM_45_r97
22,EDParamsReadLocal(),0,1,CLM_45_r97
23,restFile_read(),0,1,CLM_45_r97
27,this%printDataInfoVector(),0,1,CLM_45_r97
28,area_burnt(),0,1,CLM_45_r97
36,CNPrecisionControl(),0,1,CLM_45_r97
39,AccumulateFluxes_ED(),0,1,CLM_45_r97
41,InitDustVars(),0,1,CLM_45_r97
42,ed_ecosystem_dynamics(),0,1,CLM_45_r97
44,SetMatrix_SnowUrbanRoad(),0,1,CLM_45_r97
51,seq_infodata_GetData(),0,1,CLM_45_r97
53,this%calc_plant_cn_alloc(),0,1,CLM_45_r97
54,cnveg_nitrogenflux_inst%SetValues(),0,1,CLM_45_r97
56,mct_gsmap_OP(),0,1,CLM_45_r97
58,printDataInfoLL(),0,1,CLM_45_r97
61,soilhydrology_inst%restart(),0,1,CLM_45_r97
62,set_pct_landunit_diagnostics(),0,1,CLM_45_r97
66,read_data_if_needed_interface(),0,1,CLM_45_r97
72,pedotransf_noilhan_lacarrere1995(),0,1,CLM_45_r97
76,extract_accum_field(),0,1,CLM_45_r97
78,createPatchCohortStructure(),0,1,CLM_45_r97
83,init_decomp_cascade_constants(),0,1,CLM_45_r97
88,pio_setframe(),0,1,CLM_45_r97
89,CNDriverInit(),0,1,CLM_45_r97
93,landunit_varcon_init(),0,1,CLM_45_r97
96,this%InitAllocate(),0,1,CLM_45_r97
103,Init(soilbiogeochem)(),0,1,CLM_45_r97
107,check_weights(),0,1,CLM_45_r97
111,hdm_init(),0,1,CLM_45_r97
112,set_site_properties(),0,1,CLM_45_r97
124,CStateUpdate1(),0,1,CLM_45_r97
127,this%ed_update_history_variables(),0,1,CLM_45_r97
129,p2g_1d(),0,1,CLM_45_r97
141,interp_1d_double(),0,1,CLM_45_r97
145,InitAllocate(biogeochem)(),0,1,CLM_45_r97
150,SoilBiogeochemNLeaching(),0,1,CLM_45_r97
