Latitude,Longitude,Frequency
37.2281,-81.3092,2
35.9985,-86.7806,4
48.8322,2.3561,1
31.0456,121.3997,1
31.9867,121.6875,1
35.961,-83.921,1
33.8138,-117.7986,7
43.2606,-79.9161,1
46.2086,6.1236,1
33.793,-84.4432,1
22.2500,114.1667,1
39.632,-86.303,1
41.6736,-88.0017,6
36.068,-84.02,2
35.8366,-106.3093,1
36.1473,-86.7770,1
43.4529,-80.5281,2
29.8729,-98.0140,1
35.9182,-84.0034,40
36.1189,-93.9840,2
35.9043,-83.8407,3
34.0614,-117.1734,1
40.8504,-73.9369,1
36.1810,-115.1701,2
44.8048,-0.5954,1
41.8500,12.6167,1
35.8288,-84.3177,12
40.7856,-74.3291,1
33.7529,-116.0556,1
35.9251,-86.8689,8
37.7510,-97.8220,4
36.0104,-84.2696,170
1.2931,103.8558,30
33.2148,-97.1331,3
34.1359,-117.1553,1
26.061,119.306,1
38.9807,-76.9369,1
30.58,114.273,1
37.4192,-122.0574,42
35.9537,-83.9335,18
35.7973,-84.256,2
48.86,2.35,1
35.9817,-84.1290,184
37.2942,-81.1832,3
42.3496,-71.0746,1
39.9721,-105.2493,4
41.1700,-81.1966,1
35.8572,-84.0177,30
35.9863,-83.9564,29
50.9253,6.3627,2
40.6518,-74.3229,1
40.0150,-105.2706,1
47.0000,8.0000,2
38.6143,-90.4444,3
39.7525,-104.9995,10
40.0583,-88.2573,1
35.8556,-83.7449,2
36.0448,-83.8216,1
35.9279,-84.0852,38
34.0008,-117.1266,18
34.6836,113.5325,8
34.6993,-86.7483,1
34.0438,-118.2512,1
44.9759,-93.2166,25
35.918,-84.004,14
35.7328,-84.3338,4
37.5038,-121.5253,1
33.2201,-97.1502,1
40.8486,-111.9069,1
42.2429,-71.0098,1
38.4829,-121.6398,2
35.8188,-84.2310,1
40.8291,-73.9491,1
37.3501,-121.9854,1
42.9264,-78.7479,1
36.0626,-94.1574,6
33.1161,-97.0118,1
17.4478,78.5263,1
36.7223,-86.5772,1
38.8336,-76.8777,1
33.7866,-118.2987,1
29.7419,-95.5643,1
41.6815,-87.9706,3
50.8500,4.3500,2
35.9542,-90.4600,5
37.4956,127.0353,1
35.9724,-84.2904,37
46.2857,-119.2845,2
31.2586,121.4597,3
30.1678,-97.8225,1
1.2855,103.8565,49
38.9036,-77.4512,46
34.0918,-84.2209,1
45.0023,-93.2408,1
35.9217,-84.1829,2
39.9340,-74.8910,9
38.0287,-84.5075,1
48.7667,9.1833,1
36.0817,-84.0538,1
37.8668,-122.2536,4
34.0194,-118.4912,2
46.1669,-119.2541,2
40.8195,-73.9209,1
46.3282,-119.3222,3
35.9446,-84.0059,7
30.5801,114.2734,2
13.7500,100.4667,1
51.0000,9.0000,1
33.0347,-96.8134,1
38,-97,2
37.5670,-121.9829,1
40.4555,-105.4648,2
42.4650,-83.2307,2
35.9817,-84.129,10
38.0000,-97.0000,1
30.5423,-97.9176,1
39.9289,116.3883,5
35.8845,-84.1535,1
35.9901,-83.9622,40
35.6427,139.7677,1
36.0684,-84.0197,2
35.99,-83.963,1
36.5484,-82.5618,1
46.2032,6.1951,1
30.3520,-97.7151,1
35.9606,-83.9207,122
36.3891,-82.4511,1
39.7392,-104.9847,1
47.6206,-122.0227,1
